OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
29185,SAINT CLOUD FL,1086,WM Supercenter,Retail,4400 13TH ST,SAINT CLOUD,OSCEOLA,FL,34769-6763,Open,6d6061ce-942e-48ef-a380-93846ebe8124,-9052015.4157,3281212.8449
29186,STUART FL,1087,WM Supercenter,Retail,4001 SE FEDERAL HWY,STUART,MARTIN,FL,34997-4909,Open,6f8a0caa-1c26-4699-869b-185558e80261,-8929896.0419,3143099.4289
29187,BILOXI MS,1088,WM Supercenter,Retail,2681 CT SWITZER SR DR,BILOXI,HARRISON,MS,39531-4500,Open,ce96266a-3b16-4dde-9af4-6593c3b62e12,-9906878.8624,3554095.6509
29190,KIMBALL /JASPER TN,1089,WM Supercenter,Retail,525 KIMBALL CROSSING DR,KIMBALL,MARION,TN,37347-5649,Open,8e62e0df-e475-4484-8a13-d0a46a8bb358,-9538018.0561,4169385.3435
29191,CAMERON MO,109,WM Supercenter,Retail,2000 N WALNUT ST,CAMERON,DEKALB,MO,64429-8800,Open,f304f18c-e88e-4acc-8367-e24edc19a63c,-10489812.8381,4830861.3135
29192,JACKSONVILLE FL,1090,WM Supercenter,Retail,6767 103RD ST,JACKSONVILLE,DUVAL,FL,32210-7135,Open,5a26e488-4177-4091-bd6d-25216844df5b,-9100704.6685,3535811.4852
29193,ANDALUSIA AL,1091,WM Supercenter,Retail,1991 M. L. KING JR.,ANDALUSIA,COVINGTON,AL,36420-4145,Open,dcbec260-ac10-4377-ab84-75b58e4a2ecc,-9623009.5968,3674606.8145
29199,RANTOUL IL,1093,WM Supercenter,Retail,845 BROADMEADOW RD,RANTOUL,CHAMPAIGN,IL,61866-2119,Open,5521bf45-5efb-44cf-aa31-dad722f23038,-9816003.4187,4910438.1331
29207,RAYTOWN MO,1094,WM Supercenter,Retail,10300 E HIGHWAY 350,RAYTOWN,JACKSON,MO,64138-1803,Open,c450bc57-2db9-464a-b854-80e7f804acc1,-10515163.5144,4719343.4507
29209,GLENWOOD SPRINGS CO,1095,Wal-Mart,Retail,3010 BLAKE AVE,GLENWOOD SPRINGS,GARFIELD,CO,81601-4400,Open,5cf88eb4-cbe6-466e-ae6d-3c8bbca7aded,-11946790.9427,4796716.7712
29212,MOCKSVILLE NC,1096,WM Supercenter,Retail,261 COOPER CREEK DR,MOCKSVILLE,DAVIE,NC,27028-5967,Open,fe8a2c4c-2924-49de-8833-f2098838dfa8,-8970984.5112,4290655.9753
29213,"ABERDEEN, NC",1097,WM Supercenter,Retail,250 TURNER ST,ABERDEEN,MOORE,NC,28315-2363,Open,8c132320-ce7b-4106-8384-44ddc5e56852,-8841497.3455,4185603.7447
29216,PORT LAVACA TX,1098,WM Supercenter,Retail,400 TINEY BROWNING BLVD,PORT LAVACA,CALHOUN,TX,77979-5215,Open,abc808cb-0d24-403d-85c1-5de446ef6a48,-10756520.4231,3328888.9644
29217,WICHITA KS,1099,WM Supercenter,Retail,501 E PAWNEE ST,WICHITA,SEDGWICK,KS,67211-4944,Open,b144e227-8fec-49b3-ace5-bf0234badeba,-10834964.3739,4529811.9172
29218,MOUNTAIN HOME AR,11,WM Supercenter,Retail,65 WALMART DR,MOUNTAIN HOME,BAXTER,AR,72653-6784,Open,88821a7d-ca9d-42cf-b7e0-172fdf2c809d,-10279339.9636,4349581.4891
29219,WINTER GARDEN FL,110,WM Supercenter,Retail,16313 NEW INDEPENDENCE PARKWAY,WINTER GARDEN,ORANGE,FL,34787-0000,Open,1a7353e7-5c3d-418c-9bf2-6499d2a9a9d0,-9086949.0304,3309181.9337
29220,HAMILTON AL,1100,WM Supercenter,Retail,1706 MILITARY ST S,HAMILTON,MARION,AL,35570-5021,Open,92314973-9578-4e76-a7c8-c86b7265517b,-9795233.8734,4044865.1819
29223,WETUMPKA AL,1101,WM Supercenter,Retail,4538 US HIGHWAY 231,WETUMPKA,ELMORE,AL,36092-3333,Open,bb67a881-7323-49a6-a2f8-48398b52d992,-9597096.9797,3830095.5894
29226,HW CMO REVENUE,11017,WM On Campus/RX Facilities,Retail,2608 SE J ST,BENTONVILLE,BENTON,AR,72716-5561,Open,094ec0ef-b596-4207-84b7-5b266cb86630,-10486387.8713,4348207.222
29227,BAKER LA,1102,WM Supercenter,Retail,14507 PLANK RD,BAKER,EAST BATON ROUGE,LA,70714-5431,Open,8425259c-8311-4c21-b74f-298afcb79324,-10144686.2378,3578360.0266
29228,HOUSTON (CORNERSTONE) TX,1103,WM Supercenter,Retail,3450 FM 1960 RD W,HOUSTON,HARRIS,TX,77068-3606,Open,f0a86094-17bf-4404-b471-c2fad6e9277d,-10629258.6454,3503311.7884
